Price,Location,Bedroom,Bathroom,Carport,Land Area,Building Area
"Rp 2,8 Miliar","Jati Asih, Bekasi",3,3,1,LT:  120 m²,LB:  140 m²
"Rp 3,7 Miliar","Grand Wisata, Bekasi",6,5,1,LT:  175 m²,LB:  160 m²
"Rp 1,37 Miliar","Summarecon Bekasi, Bekasi",3,2,1,LT:  66 m²,LB:  60 m²
"Rp 4,5 Miliar","Harapan Indah, Bekasi",6,4,2,LT:  300 m²,LB:  275 m²
Rp 465 Juta,"Tarumajaya, Bekasi",2,1,,LT:  60 m²,LB:  50 m²
Rp 800 Juta,"Cikarang, Bekasi",2,1,1,LT:  60 m²,LB:  31 m²
"Rp 1,1 Miliar","Cibitung, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
Rp 865 Juta,"Bekasi Kota, Bekasi",2,1,1,LT:  72 m²,LB:  38 m²
"Rp 1,1 Miliar","Cikarang Selatan, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
"Rp 1,3 Miliar","Jatibening, Bekasi",3,3,2,LT:  99 m²,LB:  125 m²
Rp 650 Juta,"Bekasi Utara, Bekasi",2,1,1,LT:  84 m²,LB:  60 m²
Rp 800 Juta,"Bekasi, Bekasi",2,1,1,LT:  60 m²,LB:  31 m²
Rp 4 Miliar,"Kemang Pratama, Bekasi",5,4,2,LT:  455 m²,LB:  430 m²
Rp 865 Juta,"Bekasi Timur, Bekasi",2,1,1,LT:  72 m²,LB:  38 m²
"Rp 1,1 Miliar","Jababeka, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
"Rp 3,25 Miliar","Cikunir, Bekasi",5,4,2,LT:  234 m²,LB:  252 m²
Rp 334 Juta,"Setu, Bekasi",1,1,,LT:  72 m²,LB:  37 m²
Rp 556 Juta,"Bekasi Barat, Bekasi",1,1,,LT:  112 m²,LB:  89 m²
Rp 210 Juta,"Tambun Selatan, Bekasi",2,1,,LT:  100 m²,LB:  75 m²
"Rp 1,9 Miliar","Galaxy, Bekasi",3,2,1,LT:  91 m²,LB:  98 m²
Rp 2 Miliar,"Cibubur, Bekasi",3,2,1,LT:  72 m²,LB:  89 m²
Rp 865 Juta,"Tambun Utara, Bekasi",2,1,1,LT:  72 m²,LB:  38 m²
Rp 450 Juta,"Babelan, Bekasi",2,1,,LT:  60 m²,LB:  60 m²
"Rp 1,3 Miliar","Mustikajaya, Bekasi",4,3,1,LT:  96 m²,LB:  200 m²
"Rp 3,99 Miliar","Jatiwaringin, Bekasi",4,3,2,LT:  308 m²,LB:  300 m²
"Rp 6,95 Miliar","Jaka Setia, Bekasi",6,4,,LT:  550 m²,LB:  300 m²
"Rp 1,58 Miliar","Summarecon Crown Gading, Bekasi",4,3,2,LT:  77 m²,LB:  93 m²
"Rp 2,7 Miliar","Pondok Gede, Bekasi",3,2,3,LT:  300 m²,LB:  300 m²
"Rp 4,5 Miliar","Bekasi Selatan, Bekasi",5,4,1,LT:  350 m²,LB:  250 m²
Rp 730 Juta,"Medan Satria, Bekasi",2,1,,LT:  72 m²,LB:  50 m²
"Rp 2,99 Miliar","Rawalumbu, Bekasi",4,4,,LT:  216 m²,LB:  251 m²
Rp 198 Juta,"Cabang Bungin, Bekasi",1,1,,LT:  212 m²,LB:  60 m²
Rp 895 Juta,"Mustikasari, Bekasi",3,2,2,LT:  86 m²,LB:  75 m²
Rp 650 Juta,"Bintara, Bekasi",3,2,,LT:  51 m²,LB:  102 m²
Rp 550 Juta,"Pondokmelati, Bekasi",2,1,,LT:  60 m²,LB:  40 m²
Rp 5 Miliar,"Cikarang Utara, Bekasi",5,3,1,LT:  980 m²,LB:  600 m²
Rp 865 Juta,"Grand Wisata, Bekasi",2,1,1,LT:  72 m²,LB:  38 m²
Rp 800 Juta,"Grand Wisata, Bekasi",2,1,1,LT:  60 m²,LB:  31 m²
Rp 455 Juta,"Harapan Indah, Bekasi",3,2,,LT:  60 m²,LB:  50 m²
Rp 970 Juta,"Harapan Indah, Bekasi",3,2,1,LT:  70 m²,LB:  100 m²
"Rp 1,18 Miliar","Summarecon Bekasi, Bekasi",3,3,1,LT:  84 m²,LB:  150 m²
"Rp 1,75 Miliar","Harapan Indah, Bekasi",4,3,1,LT:  104 m²,LB:  120 m²
Rp 745 Juta,"Harapan Indah, Bekasi",3,2,1,LT:  59 m²,LB:  76 m²
Rp 625 Juta,"Harapan Indah, Bekasi",3,2,1,LT:  60 m²,LB:  73 m²
Rp 950 Juta,"Harapan Indah, Bekasi",3,2,1,LT:  68 m²,LB:  130 m²
Rp 950 Juta,"Harapan Indah, Bekasi",3,2,1,LT:  94 m²,LB:  70 m²
"Rp 1,23 Miliar","Harapan Indah, Bekasi",4,2,1,LT:  125 m²,LB:  200 m²
"Rp 2,75 Miliar","Harapan Indah, Bekasi",4,3,,LT:  265 m²,LB:  250 m²
"Rp 1,6 Miliar","Harapan Indah, Bekasi",3,4,2,LT:  138 m²,LB:  150 m²
"Rp 1,25 Miliar","Harapan Indah, Bekasi",2,2,,LT:  60 m²,LB:  55 m²
"Rp 3,2 Miliar","Harapan Indah, Bekasi",5,4,2,LT:  258 m²,LB:  200 m²
"Rp 1,5 Miliar","Summarecon Bekasi, Bekasi",2,2,1,LT:  66 m²,LB:  62 m²
"Rp 1,6 Miliar","Jati Asih, Bekasi",3,2,1,LT:  72 m²,LB:  82 m²
"Rp 1,25 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  114 m²,LB:  69 m²
"Rp 1,1 Miliar","Cikarang, Bekasi",3,3,1,LT:  64 m²,LB:  72 m²
"Rp 1,95 Miliar","Harapan Indah, Bekasi",3,3,2,LT:  160 m²,LB:  160 m²
"Rp 4,6 Miliar","Harapan Indah, Bekasi",5,4,2,LT:  112 m²,LB:  156 m²
"Rp 4,6 Miliar","Summarecon Bekasi, Bekasi",5,4,2,LT:  112 m²,LB:  156 m²
"Rp 2,5 Miliar","Summarecon Bekasi, Bekasi",2,2,1,LT:  144 m²,LB:  100 m²
Rp 2 Miliar,"Summarecon Bekasi, Bekasi",2,1,1,LT:  119 m²,LB:  82 m²
"Rp 1,9 Miliar","Summarecon Bekasi, Bekasi",3,3,1,LT:  91 m²,LB:  84 m²
"Rp 2,35 Miliar","Summarecon Bekasi, Bekasi",3,3,1,LT:  119 m²,LB:  200 m²
Rp 4 Miliar,"Summarecon Bekasi, Bekasi",4,3,2,LT:  130 m²,LB:  177 m²
"Rp 1,45 Miliar","Summarecon Bekasi, Bekasi",3,2,1,LT:  66 m²,LB:  69 m²
"Rp 1,7 Miliar","Summarecon Bekasi, Bekasi",2,2,2,LT:  91 m²,LB:  65 m²
"Rp 3,75 Miliar","Summarecon Bekasi, Bekasi",3,3,2,LT:  180 m²,LB:  200 m²
"Rp 1,4 Miliar","Jatibening, Bekasi",4,4,2,LT:  105 m²,LB:  140 m²
"Rp 1,45 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  82 m²,LB:  126 m²
"Rp 2,3 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  84 m²,LB:  87 m²
"Rp 1,4 Miliar","Harapan Indah, Bekasi",3,3,1,LT:  90 m²,LB:  120 m²
Rp 890 Juta,"Jatibening, Bekasi",2,1,1,LT:  89 m²,LB:  60 m²
Rp 1 Miliar,"Harapan Indah, Bekasi",3,2,1,LT:  75 m²,LB:  100 m²
"Rp 2,95 Miliar","Galaxy, Bekasi",4,2,1,LT:  180 m²,LB:  110 m²
Rp 999 Juta,"Harapan Indah, Bekasi",3,2,,LT:  108 m²,LB:  70 m²
"Rp 1,2 Miliar","Harapan Indah, Bekasi",3,2,1,LT:  75 m²,LB:  57 m²
