Price,Location,Bedroom,Bathroom,Carport,Land Area,Building Area
2800000000,Jati Asih,3,3,1,120,140
3700000000,Grand Wisata,6,5,1,175,160
1370000000,Summarecon Bekasi,3,2,1,66,60
4500000000,Harapan Indah,6,4,2,300,275
465000000,Tarumajaya,2,1,0,60,50
800000000,Cikarang,2,1,1,60,31
1100000000,Cibitung,3,3,1,64,72
865000000,Bekasi Kota,2,1,1,72,38
1100000000,Cikarang Selatan,3,3,1,64,72
1300000000,Jatibening,3,3,2,99,125
650000000,Bekasi Utara,2,1,1,84,60
800000000,Bekasi,2,1,1,60,31
4000000000,Kemang Pratama,5,4,2,455,430
865000000,Bekasi Timur,2,1,1,72,38
1100000000,Jababeka,3,3,1,64,72
3250000000,Cikunir,5,4,2,234,252
334000000,Setu,1,1,0,72,37
556000000,Bekasi Barat,1,1,0,112,89
210000000,Tambun Selatan,2,1,0,100,75
1900000000,Galaxy,3,2,1,91,98
2000000000,Cibubur,3,2,1,72,89
865000000,Tambun Utara,2,1,1,72,38
450000000,Babelan,2,1,0,60,60
1300000000,Mustikajaya,4,3,1,96,200
3990000000,Jatiwaringin,4,3,2,308,300
6950000000,Jaka Setia,6,4,0,550,300
1580000000,Summarecon Crown Gading,4,3,2,77,93
2700000000,Pondok Gede,3,2,3,300,300
4500000000,Bekasi Selatan,5,4,1,350,250
730000000,Medan Satria,2,1,0,72,50
2990000000,Rawalumbu,4,4,0,216,251
198000000,Cabang Bungin,1,1,0,212,60
895000000,Mustikasari,3,2,2,86,75
650000000,Bintara,3,2,0,51,102
550000000,Pondokmelati,2,1,0,60,40
5000000000,Cikarang Utara,5,3,1,980,600
865000000,Grand Wisata,2,1,1,72,38
800000000,Grand Wisata,2,1,1,60,31
455000000,Harapan Indah,3,2,0,60,50
970000000,Harapan Indah,3,2,1,70,100
1180000000,Summarecon Bekasi,3,3,1,84,150
1750000000,Harapan Indah,4,3,1,104,120
745000000,Harapan Indah,3,2,1,59,76
625000000,Harapan Indah,3,2,1,60,73
950000000,Harapan Indah,3,2,1,68,130
950000000,Harapan Indah,3,2,1,94,70
1230000000,Harapan Indah,4,2,1,125,200
2750000000,Harapan Indah,4,3,0,265,250
1600000000,Harapan Indah,3,4,2,138,150
1250000000,Harapan Indah,2,2,0,60,55
3200000000,Harapan Indah,5,4,2,258,200
1500000000,Summarecon Bekasi,2,2,1,66,62
1600000000,Jati Asih,3,2,1,72,82
1250000000,Harapan Indah,3,2,1,114,69
1100000000,Cikarang,3,3,1,64,72
1950000000,Harapan Indah,3,3,2,160,160
4600000000,Harapan Indah,5,4,2,112,156
4600000000,Summarecon Bekasi,5,4,2,112,156
2500000000,Summarecon Bekasi,2,2,1,144,100
2000000000,Summarecon Bekasi,2,1,1,119,82
1900000000,Summarecon Bekasi,3,3,1,91,84
2350000000,Summarecon Bekasi,3,3,1,119,200
4000000000,Summarecon Bekasi,4,3,2,130,177
1450000000,Summarecon Bekasi,3,2,1,66,69
1700000000,Summarecon Bekasi,2,2,2,91,65
3750000000,Summarecon Bekasi,3,3,2,180,200
1400000000,Jatibening,4,4,2,105,140
1450000000,Harapan Indah,3,2,1,82,126
2300000000,Harapan Indah,3,3,1,84,87
1400000000,Harapan Indah,3,3,1,90,120
890000000,Jatibening,2,1,1,89,60
1000000000,Harapan Indah,3,2,1,75,100
2950000000,Galaxy,4,2,1,180,110
999000000,Harapan Indah,3,2,0,108,70
1200000000,Harapan Indah,3,2,1,75,57
2300000000,Summarecon Bekasi,3,3,1,84,87
1100000000,Tambun Selatan,3,3,1,64,72
865000000,Tambun Selatan,2,1,1,72,38
1100000000,Bekasi Timur,3,3,1,64,72
1490000000,Cikarang,2,2,1,78,82
1880000000,Harapan Indah,3,2,2,77,77
3700000000,Grand Wisata,6,5,1,175,160
1450000000,Summarecon Bekasi,3,2,1,66,65
1100000000,Jati Asih,4,2,2,118,105
1750000000,Harapan Indah,3,3,1,127,127
1590000000,Harapan Indah,4,3,1,90,120
2750000000,Harapan Indah,4,3,2,265,250
1100000000,Bekasi Kota,3,3,1,64,72
2090000000,Harapan Indah,3,3,1,91,95
1000000000,Harapan Indah,3,2,1,67,100
450000000,Harapan Indah,1,1,0,77,50
420000000,Harapan Indah,2,1,0,66,34
675000000,Harapan Indah,2,1,0,77,50
800000000,Bekasi Timur,2,1,1,60,31
1100000000,Cikarang,3,3,1,64,72
1500000000,Jatibening,3,3,1,150,150
375000000,Harapan Indah,2,1,0,60,40
2000000000,Harapan Indah,3,3,2,160,216
2350000000,Summarecon Bekasi,4,3,1,137,137
1100000000,Harapan Indah,2,1,1,48,48
2200000000,Harapan Indah,2,2,1,138,63
1170000000,Harapan Indah,3,2,0,106,78
520000000,Harapan Indah,3,1,0,60,45
440000000,Harapan Indah,3,1,0,60,50
890000000,Jatibening,2,2,0,105,55
650000000,Bekasi Utara,2,1,0,66,50
1660000000,Tarumajaya,4,3,0,90,120
390000000,Harapan Indah,2,1,0,60,40
1330000000,Bekasi Utara,3,2,0,84,126
700000000,Bekasi Utara,3,2,0,57,70
670000000,Bekasi Utara,3,2,0,60,73
1130000000,Harapan Indah,3,2,0,97,93
1220000000,Harapan Indah,3,2,0,115,90
550000000,Harapan Indah,2,1,0,60,45
560000000,Jati Asih,4,2,0,104,150
630000000,Harapan Indah,3,1,0,72,50
970000000,Jati Asih,3,2,0,140,105
610000000,Jati Asih,2,1,0,78,78
670000000,Tarumajaya,3,1,0,120,90
530000000,Bekasi Timur,2,1,0,72,40
420000000,Harapan Indah,2,1,0,60,50
1110000000,Tarumajaya,3,2,0,105,105
630000000,Harapan Indah,3,2,0,60,80
670000000,Harapan Indah,2,1,0,60,50
860000000,Harapan Indah,3,2,0,90,70
620000000,Tarumajaya,3,1,0,90,72
1130000000,Summarecon Bekasi,3,2,0,97,93
550000000,Summarecon Bekasi,2,1,0,60,45
2210000000,Summarecon Bekasi,5,3,0,105,200
420000000,Summarecon Bekasi,2,1,0,60,50
700000000,Summarecon Bekasi,3,1,0,60,45
1070000000,Summarecon Bekasi,3,2,0,60,100
500000000,Harapan Indah,3,2,0,76,76
500000000,Jatibening,2,1,0,81,40
850000000,Summarecon Bekasi,3,2,0,59,72
630000000,Summarecon Bekasi,3,2,0,60,80
1110000000,Summarecon Bekasi,3,2,0,90,108
580000000,Summarecon Bekasi,3,2,0,60,80
780000000,Jatibening,3,2,0,116,160
660000000,Summarecon Bekasi,2,1,0,60,48
670000000,Summarecon Bekasi,2,1,0,60,50
860000000,Summarecon Bekasi,3,2,0,90,70
750000000,Summarecon Bekasi,2,1,0,66,55
670000000,Summarecon Bekasi,2,1,0,60,55
1720000000,Bekasi,4,3,0,130,120
620000000,Tarumajaya,3,1,0,90,72
560000000,Bekasi,4,2,0,104,150
970000000,Galaxy,3,2,0,140,105
610000000,Bekasi,2,1,0,78,78
590000000,Jati Asih,3,2,0,84,111
2210000000,Harapan Indah,5,3,0,105,200
660000000,Summarecon Bekasi,2,1,0,67,45
500000000,Bekasi,2,1,0,60,60
520000000,Bekasi,2,1,0,65,48
2660000000,Summarecon Bekasi,4,3,0,216,250
1660000000,Bekasi Utara,3,3,0,120,93
1660000000,Harapan Indah,3,3,0,120,93
610000000,Bekasi Timur,2,1,0,97,90
500000000,Babelan,2,1,0,60,60
650000000,Babelan,3,2,0,87,87
640000000,Jatisampurna,2,1,0,72,50
510000000,Babelan,2,1,0,90,45
500000000,Babelan,2,1,0,60,60
1000000000,Bekasi Timur,3,2,0,150,90
3100000000,Harapan Indah,3,3,1,244,177
720000000,Tarumajaya,4,2,0,60,120
1880000000,Bekasi Timur,4,4,0,120,120
380000000,Harapan Indah,2,1,0,56,40
1220000000,Jatibening,3,2,0,76,130
1050000000,Bekasi Utara,4,2,0,96,170
3400000000,Harapan Indah,4,3,1,140,240
1100000000,Harapan Indah,2,1,1,112,90
750000000,Harapan Indah,2,1,2,121,80
1150000000,Jatibening,3,3,2,78,96
1100000000,Harapan Indah,3,3,1,82,120
1100000000,Harapan Indah,3,2,1,121,90
1600000000,Harapan Indah,3,3,2,144,200
1300000000,Jatibening,3,2,1,95,90
1100000000,Jatibening,3,3,2,78,96
575000000,Harapan Indah,4,2,2,121,100
575000000,Harapan Indah,2,1,1,60,50
